severity,category,file,line,issue,recommendation
MEDIUM,Buttons & Accessibility,templates\admin_dashboard.html,189,Button has no visible or accessible name.,"Add visible text, aria-label or title so the action is understandable."
MEDIUM,Design Consistency,templates\admin_dashboard.html,1,16 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Forms & Accessibility,templates\bom_summary.html,372,"input control #bom-search has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\bom_summary.html,372,"Placeholder-only field: 'Search parent code, child code or item description'.",Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\dispatch_tracker.html,1670,"input control #dt-search has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\dispatch_tracker.html,1670,"Placeholder-only field: 'Search customer, SO, WO or job card…'.",Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\dispatch_tracker.html,1695,"input control #dt-dd-new-date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\dispatch_tracker.html,1698,"textarea control #dt-dd-reason has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\dispatch_tracker.html,1698,Placeholder-only field: 'Enter reason…'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\jc_review.html,65,"input control #search-input has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\jc_review.html,65,"Placeholder-only field: 'Search job card, BOM, parent, child, item...'.",Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Design Consistency,templates\jc_review.html,1,10 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Forms & Accessibility,templates\oee.html,883,"input control #oee-search has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\oee.html,883,Placeholder-only field: 'Search JC / Item / Machine...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
